i,j,ba,mcc,auc,Sensitivity,Specificity,f1,pos_LR,ppv,average_precision_score
6,3,0.5181410825199645,0.06530221886492571,0.48841910677314404,0.10260869565217391,0.9336734693877551,0.6642468239564429,1.5470234113712371,0.5154929577464789,0.4840237092152815
6,5,0.6104718241437941,0.21007407558509342,0.5769674520281758,0.5307262569832403,0.6902173913043478,0.5302713987473904,1.7132216014897579,0.43050847457627117,0.35934349725224257
6,6,0.882127281537716,0.7605778841353273,0.9536872521043092,0.9105960264900662,0.8536585365853658,0.8860759493670887,6.222406181015452,0.9210526315789473,0.9654036226742656
6,7,0.5858611362759589,0.1655778810476153,0.5765411723399552,0.8416370106761566,0.33008526187576126,0.4769027716673999,1.2563345195729538,0.8589540412044374,0.8167059125560479
6,8,0.6006732521477539,0.19239794992587736,0.6106490989557722,0.5207182320441989,0.680628272251309,0.525783619817998,1.6304456118105246,0.42833607907743,0.4211146929250369
6,11,0.5288664394677053,0.05915391708942983,0.4999594287568971,0.41350210970464135,0.6442307692307693,0.5571725571725572,1.162276200250884,0.4908424908424908,0.4730207114968136
6,14,0.5910598705501617,0.21769988814131985,0.5764360841423948,0.8737864077669902,0.30833333333333335,0.43529411764705883,1.2633056497836004,0.74,0.6200629816528092
6,15,0.5863922869583247,0.11729266934868016,0.6029595368347183,0.569010989010989,0.6037735849056604,0.2713633398564905,1.4360753532182102,0.1750105174589819,0.17066145087237902
6,16,0.5626700146474157,0.12585461234639606,0.49461184348189996,0.7796610169491526,0.345679012345679,0.34782608695652173,1.1915574032619123,0.35,0.28890716621798995
7,3,0.7859390712806862,0.5718426254888567,0.7887622005323868,0.7895652173913044,0.782312925170068,0.7869974337040205,3.627065217391304,0.7917383820998278,0.7272131443396268
7,5,0.6728048336167112,0.3575090179625724,0.6908398105416564,0.8184357541899442,0.5271739130434783,0.5606936416184971,1.7309445835741348,0.5987654320987654,0.5179422883278547
7,6,0.5720804393474399,0.19443868200959538,0.5541556740070712,0.24172185430463577,0.9024390243902439,0.715359828141783,2.477649006622517,0.5925266903914591,0.5615362145665355
7,7,0.9969787733906659,0.9905051824496954,0.9999561120237883,0.998220640569395,0.9957369062119367,0.9975594874923733,234.15404168784977,0.9993887530562348,0.9999848646037046
7,8,0.6079987561829279,0.2078229840787797,0.6371922999045442,0.6505524861878453,0.5654450261780105,0.5076380728554643,1.4970545164081743,0.4605543710021322,0.4872263733984181
7,11,0.696009818240831,0.4351947688968732,0.7080087633885102,0.4641350210970464,0.9278846153846154,0.7310606060606061,6.436005625879046,0.603125,0.6591050665465024
7,14,0.555198220064725,0.11052057724064294,0.5278519417475729,0.5145631067961165,0.5958333333333333,0.5921325051759835,1.2731458312481232,0.588477366255144,0.5422431979124821
7,15,0.5333070702882023,0.051830956698136504,0.5062233847429783,0.2610989010989011,0.8055152394775036,0.2409900130264872,1.342515991471215,0.1416900689303038,0.1252757133117414
7,16,0.6231167608286252,0.2221662812052845,0.621207365557648,0.690677966101695,0.5555555555555556,0.4522613065326633,1.5540254237288138,0.3813559322033898,0.3882058665978916
8,3,0.5738864241348713,0.14807183391859,0.5837518485655131,0.6069565217391304,0.5408163265306123,0.5618374558303888,1.321816425120773,0.5845588235294118,0.5815003968244373
