protonated_Standardized_SMILES,median pMolar total plasma concentration,median pMolar unbound plasma concentration
CC(C)CC1C(=O)[NH+]2CCCC2C2(O)OC(NC(=O)C3=CC4c5cccc6[nH]c(Br)c(c56)CC4[NH+](C)C3)(C(C)C)C(=O)[NH+]12,8.213922644095057,10.912892648431075
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)[NH+]1CCCC1,5.166193215170067,7.564633493387339
CC(C)C[NH+](CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,4.918511587645162,4.954723760299608
CC(C)C[NH+](CC(O)C(Cc1ccccc1)NC(=O)OC1COC2OCCC12)S(=O)(=O)c1ccc(N)cc1,4.87116933482034,6.172199330484321
CC(C)C[NH+](CC(O[P](=O)(=O)O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,6.165555908930906,
CC(C)Cc1ccc(C(C)C(=O)[O-])cc1,3.837335868015015,6.059184617631371
CC(C)N[N-]C(=O)c1ccncc1,4.554416468651753,
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,4.08019341942848,
CC(C)[N+](C)(CCOC(=O)C1c2ccccc2Oc2ccccc21)C(C)C,7.265407496531089,
CC(C)[NH+](CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,4.845123230029418,5.641003247373493
CC(C)[NH+]=C(N)[NH+]=C(N)Nc1ccc(Cl)cc1,6.228297676474863,
CC(C)[NH2+]CC(O)COc1ccc(CC(N)=O)cc1,5.124406399745029,5.15127854614533
CC(C)[NH2+]CC(O)COc1ccc(CCOCC2CC2)cc1,6.788776240736422,7.18671624940846
CC(C)[NH2+]CC(O)COc1ccc(COCCOC(C)C)cc1,6.512484275877902,6.692940340336033
CC(C)[NH2+]CC(O)COc1cccc2[nH]ccc12,6.218937929477692,6.455509935914755
CC(C)[NH2+]CC(O)COc1cccc2ccccc12,5.9367649976099415,6.8228216453031045
CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1,4.833099279490037,4.916645330940112
CC(C)c1cccc(C(C)C)c1O,4.347988277492059,6.092715772388752
CC(C)c1nc(C[NH+](C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.862275975446187,6.4722244789872
CC(C)n1c(C=CC(O)CC(O)CC(=O)[O-])c(-c2ccc(F)cc2)c2ccccc21,6.012278185257004,8.114651093966563
CC(C1=C(CC[NH+](C)C)Cc2ccccc21)c1ccccn1,6.767051919921517,
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)[O-],5.719375811533495,8.719375811533519
CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,5.553974000595658,
CC(C=CC=C(C)C=CC1=C(C)CCCC1(C)C)=CC=CC=C(C)C=CC=C(C)C=CC1=C(C)CCCC1(C)C,4.951734064577426,
CC(CC(C(=O)[NH+]1CCCC1)(c1ccccc1)c1ccccc1)[NH+]1CCOCC1,6.4177926590807495,
CC(CC(c1ccccc1)c1ccccc1)[NH2+]C(C)(C)C,,7.958607314841775
CC(CC1c2ccccc2CCc2ccccc21)C[NH+](C)C,6.291442854793911,
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1,5.703503016161117,6.004533011825099
CC(CN1c2ccccc2CCc2ccccc21)C[NH+](C)C,5.99187555433994,7.213724303956295
CC(CN1c2ccccc2Sc2ccccc21)C[NH+](C)C,5.872811591899731,
CC(CN1c2ccccc2Sc2ccccc21)[NH+](C)C,5.851915409967919,6.897672900528594
CC(CS)C(=O)[NH+]1CCCC1C(=O)[O-],5.638069735584359,5.774746875463904
CC(C[NH+](C)C)C(C)(O)Cc1ccc(Cl)cc1,6.106853566254609,
CC(Cc1ccc(O)c(O)c1)([NH2+]N)C(=O)[O-],6.053520199843901,
CC(Cc1ccc(O)cc1)[NH2+]CC(O)c1cc(O)cc(O)c1,6.87989832433001,7.155622454729221
CC(Cc1ccccc1)[NH+](C)Cc1ccccc1,5.680081571848349,
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,4.523801365071427,
CC(O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SC3C[NH2+]C(C(=O)Nc4cccc(C(=O)[O-])c4)C3)C(C)C12,3.779541696454021,4.575421713798097
CC(O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SC3C[NH2+]C(C(=O)[NH+](C)C)C3)C(C)C12,3.8309149622751217,3.891395709656504
CC(O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SC3C[NH2+]C(CNS(N)(=O)=O)C3)C(C)C12,4.347314523887392,4.3835266965418365
CC(O)C1C(=O)[NH+]2C(C(=O)[O-])=C(SCC[NH+]=CN)CC12,3.865519099391824,3.931020648148256
CC(S)C(=O)NCC(=O)[O-],4.513750150081823,4.86053763630648
CC([NH2+]C(C)(C)C)C(=O)c1cccc(Cl)c1,6.008690753570965,6.718656142208447
CC([NH3+])(Cc1ccc(O)c(O)c1)C(=O)[O-],4.62576503395,4.696346108235707
CC([NH3+])C(O)c1ccccc1,5.480610509059391,
CC([NH3+])Cc1ccccc1,6.13100881279064,6.227918825798696
CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F,5.264469850533606,5.641220560135706
CC1(C(=O)[O-])CCC2(C)CCC3(C)C(=C2C1)CC(=O)C1C2(C)CCC(OC(=O)CCC(=O)[O-])C(C)(C)C2CCC13C,4.27933988355467,6.27933988355467
CC1(C)C(C(=O)[O-])[NH+]2C(=O)CC2S1(=O)=O,3.464713045757063,3.672321356258809
CC1(C)OC2CC3C4CC=C5CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(C(=O)CO)O1,8.939019776448667,9.637989780784686
CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1,4.068275450541426,4.210942954110157
CC1(C)SC2C(NC(=O)C([NH3+])c3ccc(O)cc3)C(=O)[NH+]2C1C(=O)[O-],4.332331506929413,4.40291258121512
CC1(C)SC2C(NC(=O)C([NH3+])c3ccccc3)C(=O)[NH+]2C1C(=O)[O-],4.478877340963988,4.549458415249696
CC1(C)SC2C(NC(=O)Cc3ccccc3)C(=O)[NH+]2C1C(=O)[O-],3.8710537549916353,4.268993763663673
CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO,5.694117501541607,6.296177492869569
CC12CC3CC(C)(C1)CC([NH3+])(C3)C2,6.077513251497662,
CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1,6.668099246618082,
CC12CCC(=O)C=C1CCC1C2CCC2(C)C(O)CCC12,7.604218524555578,8.848343668883087
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccc(O)cc3)C2SC1,4.083251717221604,4.492187110195104
CC1=C(C(=O)[O-])[NH+]2C(=O)C(NC(=O)C([NH3+])c3ccccc3)C2SC1,3.727916457468224,3.798497531753932
CC1=C(CC(=O)[O-])c2cc(F)ccc2C1=Cc1ccc([S+](C)O)cc1,4.852992061528076,6.040078704885221
CC1=CC(=O)[NH+]2CC(=O)N(C)c3ccc(Cl)cc3C2(c2ccccc2)O1,7.26578446784052,
CC1=[NH+]S(=O)(=O)c2cc(Cl)ccc2N1,3.664039938402841,4.885888688019198
CC1C(=NC(=O)C([NH2+]OC(C)(C)C(=O)[O-])c2csc(=N)[nH]2)C(=O)N1S(=O)(=O)[O-],3.24098831263698,3.638928321309017
CC1C(c2ccccc2)OCC[NH+]1C,6.281646857867514,
CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C([NH3+])C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)[O-],5.503316272671726,6.901256281343764
CC1CC2C3CC=C4CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,6.170560591393127,6.66541061307322
CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C32OO4,5.795880017344075,
CC1CCC2C(C)C(O)OC3OC4(C)CCC1C32OO4,5.609997809965026,
CC1CCC2C(C)C(OC(=O)CCC(=O)[O-])OC3OC4(C)CCC1C32OO4,6.16626740957443,6.768327400902392
CC1CCOC2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)[NH+]12,5.181698633294562,7.336600593280305
CC1CN(c2c(F)c(N)c3c(=O)c(C(=O)[O-])cn(C4CC4)c3c2F)CC(C)[NH2+]1,,5.862171336243419
CC1COc2c(N3CC[NH+](C)CC3)c(F)cc3c(=O)c(C(=O)[O-])cn1c23,4.904204076763458,5.029142813371758
CC1C[NH+](C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)[O-])c1ccccc1,7.623796983177253,7.967698781164421
CC1OC(C)OC(C)O1,3.121100029976307,
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,8.591593233579237,8.74649519356498
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(c7coc(O)c7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,7.485693040293661,8.666149104751792
CC1[NH2+]CCOC1c1ccccc1,5.850646235183066,
CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C([NH+](C)C)C3C(O)C21,4.832679341549046,5.7534980955014206
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)[NH+](C)CC(=O)[NH+](C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(CC(C)C)C(=O)[NH+](C)C(C(C)C)C(=O)[NH+]1C,6.111649084709039,7.279140172002802
CCC(=C(c1ccccc1)c1ccc(OCC[NH+](C)C)cc1)c1ccccc1,5.871012193722461,7.731072687944122
CCC(=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,5.615529223637132,6.293309928903214
CCC(=O)C(CC(C)[NH+]1CCCCC1)(c1ccccc1)c1ccccc1,6.844502027365493,
CCC(=O)N(c1ccccc1)C1(C(=O)OC)CC[NH+](CCC(=O)OC)CC1,7.274677305812702,7.797556051093039
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCc2cccs2)CC1,7.587216912605019,8.712155649213319
CCC(=O)N(c1ccccc1)C1(COC)CC[NH+](CCn2nnn(CC)c2=O)CC1,5.841495035948007,6.90699658470444
CCC(=O)OC(Cc1ccccc1)(c1ccccc1)C(C)C[NH+](C)C,5.831844189168597,6.451632947456991
CCC(=O)OC(OP(=O)(CCCCc1ccccc1)CC(=O)[NH+]1CC(C2CCCCC2)CC1C(=O)[O-])C(C)C,6.751024921140632,
CCC(=O)[NH+](c1ccccc1)C1CC[NH+](CCc2ccccc2)CC1,8.293963144950093,9.089843162294168
CCC(=O)c1ccc2c(c1)N(CC(C)[NH+](C)C)c1ccccc1S2,6.054983106731511,
CCC(C(C)O)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(F)cc6F)C5)cc4)CC3)cc2)c1=O,6.040426994391918,7.739396998727928
CCC(C(N)=O)[NH+]1CCCC1=O,3.628925080385592,3.674682570946267
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,7.454894147244778,8.801681633469432
CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)[O-])C21,7.0,7.301029995663981
CCC(C)C1(CC)C(=O)[N-]C(=O)[N-]C1=O,4.1507564398603085,
CCC(C)C1NC(=O)C(Cc2ccc(O)cc2)NC(=O)C([NH3+])CSSCC(C(=O)[NH+]2CCCC2C(=O)NC(CC(C)C)C(=O)NCC(N)=O)NC(=O)C(CC(N)=O)NC(=O)C(CCC(N)=O)NC1=O,9.702090033313564,
CCC(C)CC(C)CCCCCCCCC(=O)NC1CC(O)C([NH2+]CC[NH3+])NC(=O)C2C(O)CC[NH+]2C(=O)C(C(O)CC[NH3+])NC(=O)C(C(O)C(O)c2ccc(O)cc2)NC(=O)C2CC(O)C[NH+]2C(=O)C(C(C)O)NC1=O,4.878282733802418,6.334214689452143
CCC(CC)C(NC(C)=O)C1C([NH+]=C(N)N)CC(C(=O)[O-])C1O,4.516416372803973,
CCC(CO)[NH2+]CC[NH2+]C(CC)CO,4.840467607817937,5.58519510271463
CCC(OC(C)=O)C(CC(C)[NH+](C)C)(c1ccccc1)c1ccccc1,6.770250453133694,7.469220457469714
CCC(c1cccc(O)c1)C(C)C[NH+](C)C,6.23111655330361,
CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.748684080151968,4.992809224479476
CCC1(C)CC(=O)NC1=O,3.3715911643297605,3.3715911643297605
CCC1(C2=CCCCC2)C(=O)[N-]C(=O)[N-]C1=O,4.595257330911951,
CCC1(CC)C(=O)NCC(C)C1=O,3.962013987649184,
CCC1(CC)C(=O)[N-]C(=O)[N-]C1=O,3.964236052223397,
CCC1(CCC(C)C)C(=O)[N-]C(=O)[N-]C1=O,4.655676165732353,5.063332831150309
CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(C[NH+](C)C)c(O)ccc3nc2-1,7.624746058172765,7.81183270152991
CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3.968071808689249,
CCC1(c2cccc(O)c2)CCCC[NH+](C)C1,5.970067796549137,6.106744936428681
CCC1(c2ccccc2)C(=O)NCNC1=O,4.162882891811399,
CCC1(c2ccccc2)C(=O)[N-]C(=O)[N-]C1=O,4.008955621830486,4.318759541801972
CCC1(c2ccccc2)CCC(=O)NC1=O,4.6380297600245095,
CCC12CCC[NH+]3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32,6.151614972016013,
CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2[NH+](CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,5.630813125065035,6.018029268345299
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=NOCOCCOC)C(C)C(O)C1(C)O,4.924933508352662,6.225963504016644
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,5.020562517539417,6.020562517539417
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(O)CC(C)C[NH+](C)C(C)C(O)C1(C)O,5.929037853134104,5.984555180983935
CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC([NH+](C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C(O)C1(C)O,5.530272864835451,6.166660884943307
CCCC(=O)Nc1ccc(OCC(O)C[NH2+]C(C)C)c(C(C)=O)c1,5.225864719920689,5.356633000189713
CCCC(C)(COC(N)=O)COC(=O)NC(C)C,3.938402963653567,
CCCC(C)(COC(N)=O)COC(N)=O,4.338954252377607,4.338954252377607
CCCC(C)C1(CC)C(=O)[N-]C(=O)[N-]C1=O,4.354646170068372,4.763581563041872
CCCC(C)C1(CC)C(=O)[N-]C(=S)[N-]C1=O,4.685455099217613,5.539327063539375
CCCC(CCC)C(=O)[O-],3.1275869125966853,4.2244969256047415
CCCC([NH2+]C(C)C(=O)[NH+]1C(C(=O)[O-])CC2CCCCC21)C(=O)OCC,6.39031087529724,6.788250883969278
CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccc(C(F)(F)F)cn3)c2)C(=O)O1,4.305833704066802,
CCCC1CC(C(=O)NC(C(C)Cl)C2OC(SC)C(O)C(O)C2O)[NH+](C)C1,5.23043870256436,6.452287452180717
CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,8.301029995663981,9.195519810894009
CCCC=c1ncc(=CC(Cc2cccs2)C(=O)[O-])n1Cc1ccc(C(=O)[O-])cc1,5.360726427154649,7.130277505776375
CCCCC(=O)[NH+](Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)[O-])C(C)C,4.953500257518825,6.351440266190862
CCCCC1=[NH+]C2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,5.27026352925798,6.27026352925798
CCCCCC(=O)OC1(C(C)=O)CCC2C3CC=C4CC(=O)CCC4(C)C3CCC21C,7.346787486224656,
CCCCCCCCCCCCCCCC(=O)OCCC1CC[NH+](CCCN2c3ccccc3Sc3ccc(S(=O)(=O)[NH+](C)C)cc32)CC1,7.075601700944552,
CCCCCCCCCCCCCCCCOP(=O)([O-])OCC[N+](C)(C)C,3.7651148249601136,
CCCCCCC[NH+](CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,,6.978087479310966
CCCCCOc1ccc(-c2cc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)C[NH+]5C(=O)C(C(O)CC(N)=O)NC(=O)C(C(O)C(O)c5ccc(O)c(OS(=O)(=O)[O-])c5)NC(=O)C5CC(O)C[NH+]5C(=O)C(C(C)O)NC4=O)cc3)no2)cc1,5.010481194079035,7.648753358061442
